Categorie;Email
Basisinformatie;een van u medewerkers in de gemeente purmerend kan ik de gegevens van jeugdzorg kijken vanmijn dochter ,en gebreukt dit tegen haar om dat zij geenrelatie mag hebben met haar zoon.<br />zo is mijn dochter de financiele steun bij haar studie mis gelopen om dat deze mevr dit af heeft gewezenik zou graag willen dat de gemeente deze mevr op het matje roept voor wat zij heeft gedaan,naar mijn mening moet je prive en werk gescheiden houden.ik zou ook graag willen dat de gemeente opnieuw naar de aanvraag voor studie verlichting van mijn dochter kijkt.
Basisinformatie;Graag ontvang ik een reactie op mijn vraag of mijn verhuizing naar Duitsland is doorgegeven. Mijn correspondentie nummer is 2014-0240226. Omdat Duitsland niet in het rijtje van landen stond, weet ik niet of de aanvraag goed is doorgekomen. Ik heb hier tweemaal over gemaild, maar nog geen reactie en in Mijn Overheid kan ik de wijziging niet terug zien. Per 1 november emigreer ik namelijk naar Duitsland, en heb ik geen adres registratie meer in Nederland. Graag ontvang ik hiervan een bevestiging.Een bevestiging van mijn wijziging.
Openbare Ruimte;Heb een beschikking van CJIB binnen gekregen met mijn adres maar ander mans naam. De boete is ook totaal niet op mij van toepassing. Ik denk dat degene die beboet werd een vals (mijn adres) heeft doorgegeven.Mij informatie geven of u het afhandelt of ik andere stappen moet doorlopen. Verder is dit niet de eerste keer dat een incassobureau mijn adres gebruikt voor verschillende geadresseerde. Heb hier al eens navraag over gedaan bij het loket in gemeente diemen maar die konden mij niet verder helpen en gaven aan dat er maar 1 naam op het adres geregistreerd stond<wbr />/staat en dat is die van mij.
Basisinformatie;Ik heb Een klacht over de basis administratie er is zonder medeweten van mij schoonmoeder mevr. C.Kho-Kahn op het adres Herengracht 24  1015BL in Amsterdam zomaar  Een neef van gaat dhr. M. Kahn bijgeschreven dit is niet mogelijk want mevr. Woont daar alleen op solder. Ik zou dit graag met sport ongedaan krijgen Een graag schriftelijk melden aan mijn schoonmoeder. Ik vindt dit echt schandalig dat dit zomaar mag zonder toe stemming .<br />Ik zou het Fijn vinden als het ongadaan gemaakt wordt Een dit ook schriftelijk meld bij mevr. Kho-Kahn.<br />Hartelijk dank daarvoor P.Kho.Veekman
Parkeren;Op 28-12-2010 heb ik mij voor het eerst ingeschreven in Nederland  bij GBA  Amsterdam als nieuwkomende immigrant met een MVV.<br />In BRP staat dat ik ben ingeschreven <wbr />/uitgeschreven op 14-02-2007.<br />Ook staat er in BRP dat ik het Nederlanderschap heb gehad .<br />Deze gegevens zijn niet van mij !<br />Reeds eerder in 2012 heb ik de hr R.van Essen en de hr Hollegie hier over benaderd en een klacht neergelegd .<br />Ook heb ik deze klacht neergelegd bij DWI in 2011.<br />Ook heb ik deze klacht neergelegd bij de vreemdelingenpolitie Amsterdam.<br />Nog steeds staat dat verkeerde gegeven over mij in de BPR waardoor ik grote hinder ondervind in mijn leven als nieuwe integrant in Nederland <br />en wordt ik  door elke instantie<wbr />/ ambtenaar  in Amsterdam en door UWV als fraudeur en oplichter behandeld door ambtenaren en politie <br />van de gemeente Amsterdam en het UWV waardoor mijn leven is stilgelegd en ik niet de kans heb gekregen om te integreren en mijn <br />nieuwe leven in Nederland kapot is gemaakt en ik ernstig depresseen antwoord op mijn vragen geven
Belasting, Werk en Inkomen;Sinds 1 januari woon ik samen met 4 huisgenoten aan Uffizilaan 29 te Amsterdam. Wij huren dit huis. De vorige bewoners hebben bijna allemaal hun adres omgezet bij de gemeente en bij andere instanties, behalve eentje, Johnny Verreydt, en laat dat net de bewoner met allerlei schulden bij incassobureau's zijn. Zijn huidige adres is bij ons niet bekend. Na herhaaldelijk verzoek zijn adres te wijzigen, wat in het geval van sommige instanties ook lijkt te zijn gebeurd, zijn we er klaar mee. Ook de gemeente stuurt ons nog geregeld brieven op zijn naam, ondanks dat we met regelmaat brieven naar jullie laten retourneren met daarop duidelijk vermeldt dat deze persoon hier niet meer woont. Het enige dat ik heb is zijn naam en mobiele nummer, dat laatste is 0620297337.
Belasting, Werk en Inkomen;Het betreft fact.nummer 21405500,kosten voor een kopie uitschrijving Gemeente,deze heb ik aangevraagd maar ondanks<br />2 x een e-mail nimmer ontvangenAlsnog een kopie uitschrijving sturen waarna ik de rekening,na<br />ontvangst van de kopie zal betalen
Belasting, Werk en Inkomen;Op 10-10-2010 ben ik I. Bremer 130362499 samen met mijn dochter, R.G Tevreden 201539949 komen wonen op de Bruins Slotstraat 10, 1067 VB Amsterdam.<br /><br />Op donderdag 6 november 2014 kreeg ik een aanslag van de belasting  over de huurtoeslag van 2012 <br />€1875,-, tot mijn verbazing stond ineens de vorige bewoner F. Veldhuijzen 095945854 als een medebewoner vermeld.<br /><br />Ik heb direct contact gezocht met de belastingdienst daar werd mij geadviseerd om bezwaar te maken tegen de aanslag, ik zou de papieren toegestuurd krijgen en ik moest langsgaan bij de gemeente om een bewoners onderzoek aan te vragen.<br /><br />Op maandag 10 november ben ik in de middag bij het stadsdeel kantoor Osdorp langs gegaan met het huurcontract en mijn inschrijving die ik had van de gemeente, ik vroeg of er een bewoners onderzoek kon worden gestart , de baliemedewerkster heeft in mijn  gegevens gekeken en concludeerde dat alleen mijn dochter en ik staan ingeschreven op de Bruins Slotstraat 20, 1067 VB  AmsterdamIk wil dat de vorige bewoner F. Veldhuijzen 095945854 van mijn adres verdwijnt en dat de gegevens ook goed worden doorgegeven aan de Belastingdienst.
Parkeren;Ik heb 15-11-2014 een verhuizing doorgegeven en deze is nig steeds niet behandeld. Dat wil zeggen: nog geen bevestiging per post en nog niet ingevoerd bij DUO. Wel moet binnen deze maand de verhuizing bekend zijn bij DUO, anders verloopt mijn uitwonende beurs.<br />Correspondentienummer bevestigingsmail verhuizing: 2014-0263141Graag de stand van zaken doorgeven en zorgen dat de uitwonende beurs op tijd aangevraagd kan worden.
Parkeren;HERHAALD VERZOEK!!! U respecteert mijn correspondentieadres bij het kadaster niet als u mij schrijft inzake mijn onroerend goed eigendom in Amsterdam. U 'pakt' het woonadres van mij (de eigenaar) in plaats van het correspondentieadres. Mijn correspondentieadres is mijn kantooradres. U wilt uw zakelijke correspondentie toch ook niet naar uw huis gestuurd krijgen?Programmeur opdracht geeft altijd het correspondentieadres te gebruiken. Als er geen correspondentie is dan het woonadres.
