Categorie;Inhoud 1;Inhoud 3
Basisinformatie;Dienst Basis informatie, Taakgroep Correctie<br />Kenmerk 124602: foutieve uitschrijving uit  Dienst basis informatie wegens 'voornemen emigratie'. Op basis van foutieve informatie van de SVB is mijn tijdelijk verblijf in de VS aangemerkt als emigratie. Ik ben hier slechts voor studie voor een periode van 6 1<wbr />/2 maand ( 30-4 t<wbr />/m 11<wbr />/11-2014, dus ruim binnen de periode van 8 maanden, die door Amsterdam gesteld wordt als criterium voor emigratie. Ondanks herhaalde verzoeken mijnerzijds + uitleg van mijn situatie weigert de SVB zijn beoordeling te herzien. Ze hebben mij, ten onrechte, opgegeven als geemigreerd, waardoor ik nu uitgeschreven dreig uit Amsterdam. Ik verzoek u om de uitschrijving ongedaan te maken, omdat dit ernstige consequenties voor mij zal hebben: door deze fout ben ik de laatste 3 wk van mijn verblijf niet meer verzekerd voor ziektekosten. Ik stuur u als bewijs scans van mijn ticket 11-11 Albuquerque- Amsterdam en mijn brief aan de SVB met mijn 3e verzoek tot herziening.<br />;Uitschrijving uit Dienst Basis informatie ongedaan maken
Basisinformatie;Verbaasd en boos ben ik dat u verkeerde NAW gegevens verstrekt heeft aan het AvL, zij sturen mij een brief op mijn exmans`s naam, in 2001 u op de hoogte gesteld van mijn vechtscheiding, zelfs een brief van register a`dam ontvangen met dat deze man uitgeschreven was op mijn adres, hoe kan zoiets gebeuren ik ondervind dit als een enorme fout uwerzijds.;een correctie aanpassen, excuses voor deze enorme fout en schriftelijk aan mij toezenden, met daarin vermeld mijn aangepaste en gecorrigeerde naam mevr. C.H.M. Schreurs-Hauer
Basisinformatie;ik ben geboren in Amsterdam uit een huwelijk van een Nederlandse vrouw ( geboren op Aruba Nederlands grondgebied)en een Egyptische man ik heb bij mijn geboorte niet zijn achternaam gekregen omdat jullie zeggen dat hij dat niet had! jullie zeggen dat hij '1 naam had' Mustafa EN WAAROM HEB IK DIE 1 naam Mustafa niet gekregen als Achternaam ik ben geen bastaard! ik kom uit een huwelijk heb recht op mijn achternaam van mijn vader. of het in jullie ogen nou wel of niet een achternaam is.  nu heet ik hier in Nederland - Sabrine WAT IS DIT VOOR NAAM ik heet - als voornaam en achternaam Sabrine terwijl mijn vader en moeder mij Sabrine als voornaam hebben gegeven  ik kom niet van familie Sabrine;Ik wil mijn naam waar ik recht op heb ben hier al meer dan 15 jaar mee bezig en niet alleen ik ervaar problemen maar mijn kinderen ook en ik ben dit ZAT! door deze fout zijn er in Rotterdam en Capelle aan den ijssel iets gelijkwaardig ook gedaan met mijn kinderen
Basisinformatie;Ik heb me schriftelijk uitgeschreven uit Amsterdam en Nederland d.m.v. een afgedrukt formulier, dat ik met een kopie van mijn paspoort naar de gemeente heb verstuurd. Helaas heb ik, nog mijn voormalige huisgenoot, een bevestiging van de uitschrijving ontvangen.;Ik wil graag dat ik per 30-09-2014 uitgeschreven word van mijn voormalige adres op de Overtoom.
Basisinformatie;Op 28-12-2010 heb ik mij voor het eerst ingeschreven bij GBA Amsterdam.<br />In BRP staat dat ik ben ingeschreven <wbr />/uitgeschreven op 14-02-2007.<br />Deze gegevens zijn niet van mij !<br />Reeds eerder in 2012 heb ik de hr R.van Essen en de hr Hollegie hier over benaderd en een klacht neergelegd .<br />Nog steeds staat dat verkeerde gegeven over mij in de BPR waardoor ik grote hinder ondervind in mijn leven als  nieuwe integrant in Nederland en wordt ik als fraudeur en oplichter behandeld door ambtenaren van de gemeente Amsterdam en het UWV waardoor mijn leven is stilgelegd en ik niet de kans heb gekregen om te integreren en mijn nieuwe leven in Nederland kapot is gemaakt.<br />Graag een antwoord op mijn klacht ..waar ik sinds 2012 al op wacht .;mij  een antwoord geven op mijn vraag waarom er een datum van 14-02-2007 achter mijn naam staat en waarom er staat dat ik het Nederlandschap heb gekregen.<br />Van wie zijn die gegevens van 14-02-2007 ?
Basisinformatie;slechte telefonisch info van dbi handhaving<br />tot tweemaal toe krijg ik geen antwoord op mijn telefonische vragen: vb vanochtend was mijn vraag: 'ik krijg van een ex-huurder een brief waarin staat dat zij is geemigreerd - betekent dat automatisch dat ze op ons adres is uitgeschreven? De heer Benjamin zegt fat hij dat wel in de pc kan zien maar weigert daarop te antwoorden.;de heer Benjamin intrueren hoe hij mensen te woord moet staan... en hem duidelijk maken dat het hier geen detectifspel beterft
Basisinformatie;Ik zou recht hebben op korting met het stadspasbonnetje november bij Primera maar ik kreeg de kaart niet. De medewerksters weigerden mij een kaart te verkopen met korting van de stadspas (25 euro korting). Ze deden eigenlijk net of ze niet goed begrepen wat ik bedoelde terwijl ik het bonnetje nog in haar handen drukte. Samen met haar collega hielden ze zich voor de domme terwijl ik luid en duidelijk om 1 kaart vroeg met de stadspaskorting op een voorstelling van Hans Klok. Ik was in het filiaal Molenwijk te Amsterdam. Ik heb geen voorkeur voor rang uitgesproken. Het was gewoon niet mogelijk. KLAAR>;Ik vind dat u de kaartverkoop niet op deze manier kan promoten als de korting punt bij paaltje niet weggegeven wordt. Het is mij niet duidelijk of de medewerkster namens Post.nl verkoop weigert of namens Primera. U heeft het aangeboden via Primera.<br />Maar het scherm waar de dame keek, stond op de Post.nl balie.
Basisinformatie;Mevrouw heeft het idee dat er frauduleuze handelingen zijn gepleegd door DBI, gegevens verstrekken aan een andere dienst.;Mevrouw wil serieus genomen worden.
Basisinformatie;Meneer is een brief gestuurd over adreswijziging. Naar aanleiding van die brief moest meneer het formulier voor adreswijziging inleveren. Deze heeft meneer bij stadseel Noord afgeleverd terwijl deze volgens de medewerker opgegestuurd had moeten worden. Meneer had vervolgens gister een brief ontvangen dat de DBI zijn formulier niet heeft ontvangen. Vervolgens heeft meneer telefonisch contact opgenomen met medewerker en meneer geeft aan dat hij door medewerker onbeschoft te woord is gestaan.;Dat er met de medewerker over gepraat wordt.
Basisinformatie;In December heb ik een aanvraag voor een afschrift van mijn geboorte akte aangevraagd. Dit was op verzoek van de gemeente Den Haag m.b.t. het aangaan van een huwelijk<wbr />/partnerregistratie. Het verzoek was specifiek voor een afschrift (niet een uittreksel).<br /><br />Ik heb echter een uittreksel ontvangen, de gemeente Den Haag heeft mij geinformeerd dat dit niet voldoende is voor hun en dat ze nog steeds een afschrift dienen te ontvangen;Gaarne zou ik alsnog een Afschrift van mijn geboorte akte willen ontvangen.
